sss;sku;name;category;price;description
<p>Experience superior sound quality with these comfortable over-ear wireless Bluetooth headphones. Featuring active noise cancellation and an impressive 30-hour battery life, they are perfect for all-day use in any environment.</p>;P001;Wireless Bluetooth Headphones;Electronics;79.99;Comfortable over-ear headphones with active noise cancellation and 30-hour battery life.
;P002;Stainless Steel Water Bottle;Home & Kitchen;24.99;Double-walled insulated bottle that keeps drinks cold for 24 hours or hot for 12 hours.
;P003;Organic Green Tea;Groceries;18.50;A pack of 100 pyramid sachets of premium Japanese matcha-grade green tea.
;P004;Yoga Mat Pro;Sports & Outdoors;45.00;Non-slip exercise mat with alignment lines
;P005;Led Desk Lamp;Office Supplies;32.99;Adjustable LED desk lamp with 5 brightness levels
;P006;Retro Mechanical Keyboard;Gaming;129.99;Mechanical keyboard with brown switches
;P007;Olive Oil Extra Virgin;Gourmet;14.75;Cold-pressed first extraction from Italian olives
;P008;Portable Bluetooth Speaker;Electronics;59.99;Waterproof wireless speaker with 360-degree sound
;P009;Bamboo Cutting Board;Home & Kitchen;28.99;Extra-large organic bamboo cutting board with juice groove and easy-grip handles.
;P010;Running Shoes Ultra;Sports & Outdoors;89.99;Lightweight breathable mesh trainers with responsive cushioning and durable rubber outsole.
